,name,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,freehold,since_built_year,no_of_units,area_size,since_listing_month,additional_rooms,price
0,4,condominium,3,4.0,4,1,southern islands,sentosa,1.2393366271489,103.83748719432,0,11.0,151.0,2336.0,11,0,5390000.0
1,4,apartment,3,3.0,11,1,novena,moulmein,1.31953348960235,103.847029859453,1,23.0,24.0,1259.0,11,0,2310000.0
2,4,condominium,4,3.0,11,1,novena,moulmein,1.3156558637763798,103.84444472109502,1,10.0,235.0,1959.0,10,0,5279500.0
3,4,condominium,3,2.0,14,0,bedok,kaki bukit,1.32936720206385,103.905791323853,1,92.0,237.0,883.0,3,0,1843600.0
4,4,apartment,3,3.0,15,0,bedok,frankel,1.30917604327401,103.911351983658,1,6.0,36.0,1066.0,4,0,2262700.0
5,4,apartment,2,1.0,27,0,sembawang,sembawang springs,1.43919858389734,103.829104449216,0,92.0,448.0,678.0,3,0,1131900.0
6,4,condominium,4,3.0,23,0,bukit batok,hillview,1.36286208839026,103.763433915546,0,92.0,564.0,1249.0,3,0,2189000.0
7,4,apartment,3,2.0,19,0,sengkang,compassvale,1.3823880275650702,103.892136541911,0,6.0,680.0,936.0,4,0,1595000.0
8,4,apartment,1,1.0,7,1,downtown core,city hall,1.2963566643980902,103.85736876917,0,1.0,219.0,409.0,4,0,1490500.0
9,4,apartment,1,1.0,2,1,downtown core,anson,1.27347663345182,103.845553160818,0,8.0,202.0,592.0,7,0,1265000.0
10,3,condominium,3,3.0,10,1,newton,orange grove,1.31083945362027,103.828325367461,1,8.0,156.0,1765.0,9,1,5439500.0
11,4,apartment,3,2.0,7,1,downtown core,bugis,1.29850522262382,103.857088439281,0,92.0,558.0,904.0,4,0,2684000.0
12,4,condominium,3,2.0,18,0,tampines,tampines east,1.3453195492621202,103.945384662025,0,-1.0,466.4,1033.0,4,0,1705000.0
13,4,condominium,2,1.0,16,0,bedok,bedok south,1.32582135495427,103.944919226615,0,2.0,720.0,560.0,4,0,1031800.0
14,4,condominium,3,2.0,16,0,bedok,bedok north,1.3292937604838502,103.94421519181,0,20.0,482.0,1238.0,4,1,1485000.0
15,4,condominium,3,3.0,15,1,kallang,tanjong rhu,1.2984373006061298,103.884408021083,1,6.0,130.0,1216.0,4,0,2809000.0
16,4,apartment,2,2.0,1,1,downtown core,central subzone,1.28076943504219,103.852658562152,0,14.0,1111.0,861.0,6,0,1870000.0
17,4,condominium,4,4.0,4,1,southern islands,sentosa,1.24297424636053,103.839164641252,0,11.0,124.0,2519.0,5,0,5087500.0
18,4,apartment,3,3.0,7,1,downtown core,city hall,1.2963566643980902,103.85736876917,0,1.0,219.0,1324.0,4,0,4610300.0
19,4,apartment,4,4.0,6,1,downtown core,city hall,1.29298775382221,103.851046829843,0,6.0,39.0,5963.0,10,0,24742700.0
20,4,apartment,2,2.0,3,1,bukit merah,kampong tiong bahru,1.2763901192721498,103.830271330171,0,92.0,1074.0,689.0,3,0,1636800.0
21,4,executive condominium,1,1.0,23,0,choa chu kang,keat hong,1.3769729039412502,103.751272385118,0,4.0,1327.0,570.0,4,0,768900.0
22,4,condominium,3,3.0,10,1,bukit timah,leedon park,1.31264956890401,103.794954717761,1,3.0,69.0,1130.0,4,0,3480400.0
23,4,apartment,2,2.0,3,1,outram,pearl's hill,1.2829614865958898,103.839814598308,0,92.0,774.0,570.0,4,0,2092200.0
24,2,apartment,3,2.0,5,1,queenstown,kent ridge,1.28702848318685,103.791616124392,0,52.0,1862.0,915.0,4,0,1760000.0
25,4,condominium,2,2.0,4,1,bukit merah,maritime square,1.26489010829928,103.816454088109,0,6.0,366.0,969.0,6,0,1881000.0
26,4,apartment,1,1.0,10,1,river valley,one tree hill,1.2998826225442,103.828975333714,1,9.0,60.0,527.0,4,0,1580700.0
27,1,apartment,3,2.0,1,1,downtown core,central subzone,1.27671498507474,103.853326932298,0,5.0,1042.0,1518.0,6,0,4312000.0
28,4,apartment,3,3.0,9,1,singapore river,robertson quay,1.29173359502464,103.836971346231,1,13.0,545.0,1496.0,6,0,4620000.0
29,4,condominium,3,3.0,28,0,sengkang,fernvale,1.39500084857108,103.881564789742,0,6.0,555.0,1055.0,4,1,1104400.0
30,4,apartment,4,5.0,9,1,newton,cairnhill,1.30616222501617,103.83699453780198,1,44.0,204.0,3305.0,4,0,7920000.0
31,4,condominium,2,1.0,13,1,toa payoh,sennett,1.33183478538043,103.869655274598,0,6.0,332.0,872.0,7,0,1408000.0
32,4,condominium,2,2.0,3,1,bukit merah,bukit ho swee,1.28948198551176,103.830085402755,0,29.0,280.0,926.0,15,0,1540000.0
33,4,apartment,1,1.0,5,1,queenstown,pasir panjang 2,1.27685386379359,103.791742171785,1,4.0,120.0,603.0,5,1,1443800.0
34,4,apartment,2,2.0,19,0,hougang,lorong ah soo,1.36150960154245,103.887627003056,0,3.0,395.0,743.0,4,0,1485000.0
35,4,condominium,1,1.0,9,1,river valley,leonie hill,1.29916779999053,103.83342756799,0,7.0,462.0,549.0,5,0,1848000.0
